Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
1,07/07/2009,RWE npower,Aberthaw Power Station Biomass,Biomass (co-firing),35,No,n/a,n/a,n/a,n/a,Operational,Operational,"Aberthaw Power Station, The Leys, Aberthaw Barry, Vale of Glamorgan",South Glamorgan,Wales,Wales,302219.00,166320.00,Vale of Glamorgan Council,04/00580/FUL,,,,,,16/04/2004,,,,,,,03/09/2004,,,,,01/05/2006,01/05/2007,51.387471,-3.4066095
57,29/06/2011,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),14,Yes,n/a,n/a,n/a,n/a,Operational,Operational,"Longlands Lane, Margam, nr junction 38 of the M4.",West Glamorgan,Wales,Wales,277930.00,186880.00,Neath Port Talbot County Borough Council,P2004/0035,,,,,,09/01/2004,,,,,,,27/04/2004,,,,,01/11/2006,01/11/2009,51.56754,-3.7626211
113,27/01/2017,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),40,No,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Longlands Lane, Margam, Port Talbot",West Glamorgan,Wales,Wales,278940.00,186385.00,Neath Port Talbot County Borough Council,P2008/1409,APP/Y6930/A/10/2135473/WF,,,,,13/11/2008,,16/03/2010,,,,08/03/2011,08/03/2011,,,,,15/02/2015,,51.563309,-3.7478855
120,26/04/2017,Enviroparks Operations,Enviroparks Hirwaun Generation Site,Advanced Conversion Technologies,20,No,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Fifth Avenue, Hirwaun Industrial Estate, Hirwaun, Aberdare, Mid-Glamorgan ",Powys,Wales,Wales,293857.00,206832.00,Brecon Beacons National Park Authority,08/02488/FUL,,,,,,19/12/2008,,,,,,,21/12/2010,,,,,18/02/2016,,51.750094,-3.5389867
141,21/06/2017,Orthios Group ,Port Talbot Renewable Energy Plant,Biomass (dedicated),350,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,Port Talbot,West Glamorgan,Wales,Wales,276305.00,189045.00,DECC (S36),n/a,,,,,,23/10/2006,,,,,,,21/11/2007,,,,,,,51.586642,-3.7868176
159,28/03/2017,Morgan Credit Energy,Llynfi Biomass Power Station,Biomass (dedicated),25,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,4km south of Maesteg and 6km north of Bridgend,Mid Glamorgan,Wales,Wales,288375.00,186946.00,Bridgend County Borough Council,P/11/21/FUL,,,,,,14/01/2011,,,,,,,08/05/2015,,,,08/05/2020,,,51.570299,-3.6120088
169,21/02/2017,Warwick International Ltd,Warwick International Biomass CHP,Biomass (dedicated),8.5,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Coast Rd, Holywell, Mostyn ",Clwyd,Wales,Wales,316158.00,380495.00,Flintshire County Council,51924,,,,,,01/04/2014,,,,,,,28/07/2014,,,,,,,53.314724,-3.2599387
188,21/06/2017,Renewables Developments Wales,Trecwn Biomass Plant,Biomass (dedicated),25,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,former Royal Naval Armament Depot in Trecwn,Dyfed,Wales,Wales,197995.00,232045.00,Pembrokeshire County Council,14/0300/PA,,,,,,01/07/2014,,,,,,,14/04/2015,,,,14/04/2020,,,51.950118,-4.9408771
191,21/06/2017,Orthios Group ,Anglesey Biomass Power Station,Biomass (dedicated),299,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Anglesey Aluminium Metal Renewables Ltd, Penrhos Works, Near Holyhead, Anglesey",Gwynedd,Wales,Wales,225594.00,381320.00,DECC (S36),S36,,,,,,20/10/2009,,,,,,,16/09/2011,,,,,,,53.300043,-4.6186152
261,03/05/2017,Ancala Bioenergy (formerly Biogen),Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,1,No,n/a,n/a,n/a,n/a,Operational,Operational,"Bryn Pica Landfill and Recycling, Merthyr Road, Llwdcoed, Aberdare",Mid Glamorgan,Wales,Wales,300938.00,205377.00,Rhondda Cynon Taff County Borough Council,13/0880/10,,,,,,23/08/2013,,,,,,,07/10/2013,,,,,01/04/2014,15/09/2015,51.738314,-3.4360326
276,26/01/2017,Vale Europe,Clydach Refinery,Advanced Conversion Technologies,10.3,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Clydach Refinery, Ynys Penllwch Road, Clydach, Swansea ",Swansea,Wales,Wales,269551.00,201355.00,City and County Council of Swansea,2012/0452,,,,,,27/03/2012,,,,,,,09/10/2012,,,,,,,51.69574,-3.8888425
318,03/05/2017,Ancala Bioenergy (formerly Biogen),Waen Biogas (Waste AD),Anaerobic Digestion,1,Yes,n/a,n/a,n/a,n/a,Operational,Operational,"Former Abattoir, Holywell Road, Rhuallt, St Asaph, Denbighshire, LL17 0DS",Clwyd,Wales,Wales,304959.00,374970.00,Denbighshire County Council,47/2012/1120,,,,,,20/08/2012,,,,,,,21/11/2012,,,,,01/06/2013,04/08/2014,53.263183,-3.426328
363,23/03/2017,Green Energy (South Wales),Maesgwyn Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,1,No,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,Former Coal Stocking Ground Maesgwyn Glynneath,West Glamorgan,Wales,Wales,286587.00,208584.00,Neath Port Talbot County Borough Council,P2012/0092,,,,,,20/02/2012,,,,,,,30/07/2014,,,,30/07/2019,,,51.764414,-3.6448267
415,15/07/2009,Dwr Cymru Welsh Water,Llyn Brianne Dam,Small Hydro,4.4,n/a,n/a,n/a,n/a,n/a,Operational,Operational,"Llyn Brianne Hydro Electric Power StationLand adjacent to existing Regulator HouseLlyn Brianne DamDyfed",Dyfed,Wales,Wales,278920.00,248360.00,Ceredigion County Council,,,,,,,08/02/1994,,,,,,,27/05/1994,,,,,,01/02/1997,52.120255,-3.7698896
416,08/03/2010,Dwr Cymru Welsh Water,Elan Valley Hydro Scheme,Small Hydro,2.9,n/a,n/a,n/a,n/a,n/a,Operational,Operational,Elan Valley Reservoir Near Rhayader Powys,Powys,Wales,Wales,290000.00,267500.00,Powys County Council,,,,,,,16/02/1994,,,,,,,30/05/1996,,,,,,01/05/1997,52.29458,-3.6143542
543,15/07/2009,Waste Recycling Group,Pen y Bont,Landfill Gas,2.3,No,n/a,n/a,n/a,n/a,Operational,Operational,"Chirk, Wrexham, Clwyd",Clwyd,Wales,Wales,329200.00,341600.00,Wrexham County Borough Council,P20020261,,,,,,12/03/2002,,,,,,,08/07/2002,,,,,,02/01/2003,52.967066,-3.0556093
544,15/07/2009,Waste Recycling Group,Ruabon,Landfill Gas,2.1,No,n/a,n/a,n/a,n/a,Operational,Operational,"Gardden Lodge Landfill Site, Tatham Road, Ruabon, Wrexham, Clwyd",Clwyd,Wales,Wales,330000.00,345000.00,Wrexham County Borough Council,,,,,,,29/11/1999,,05/12/2000,,,,,,,,,,,15/07/2001,52.99773,-3.044437
